article;produits;etat de stock (en stock 100 ou rupture de stock 0)
3344;BUBBLE GUM;100
3351;TYMBARK ORANGE;100
3352;CURE DENTS FLEUR;100
3353;SACHET CONGELATION;100
3356;GEL LAV MAINS CFRESH SENTEURS MARINES 350ML;100
3360;CUREDENT TIGE GM;100
3364;LILAS GEL MACHINE LAVANDE INTENSE 2.5L;100
3366;1 GOBELET GF;100
3367;LAIT AMANDE LOVEGE 1L;100
3374;CLUB CORNFLAKES 50GR;100
3375;YAGOURT VITALAIT GRANDI SAVEUR FRUIT 330G;100
